"burn"	"site"	"burnsite"	"mix.type"	"site.type"	"moist.class"	"elev"	"Lat.N."	"Lon.W."	"slope.deg"	"aspect"	"asp.folded"	"lat.rad"	"slope.rad"	"aspect.rad"	"ln.Htload."	"insolation"	"moisture"	"pH"	"text.class"	"org"	"BS.dens"	"BS.ba"	"TA.dens"	"TA.ba"	"PB.dens"	"PB.ba"	"BS.dens.post"	"TA.dens.post"	"PB.dens.post"	"BS.BAI"	"BS.rw"	"BS.mean.age"	"total.dens"	"bs.prop"	"ta.prop"	"pb.prop"
"80"	"EP"	"D2"	"EPD2"	"BS"	"D"	2	620	66.16853	-137.06216	0	90	45	1.15485871	0	0.785398163	-2.560392304	0.729	23.67	5.07	3	4.5	0.466666667	0.13	0	0	0	0	33000	0	0	NA	NA	NA	33000	1	0	0
"81"	"EP"	"D3"	"EPD3"	"BS"	"D"	1	630	66.18126	-137.02205	0	90	45	1.15508089	0	0.785398163	-2.556953689	0.729	12.33	4.85	2	3.1	0.4	2.13	0	0	0	0	39000	0	0	NA	NA	NA	39000	1	0	0
"82"	"EP"	"N1"	"EPN1"	"BS"	"N"	4	642	66.16714	-137.08195	10	60	15	1.15483445	0.174532925	0.261799388	-0.182297923	0.659	36.33	5.19	3	10.4	0.466666667	1.71	0	0	0	0	19000	0	0	NA	NA	NA	19000	1	0	0
"83"	"EP"	"N2"	"EPN2"	"BS"	"N"	4	619	66.16925	-137.06044	6	10	35	1.154871276	0.104719755	0.610865238	-2.412991462	0.655	52.67	6.14	5	8.1	0.533333333	1.83	0	0	0	0	25000	0	0	NA	NA	NA	25000	1	0	0
"84"	"EP"	"N3"	"EPN3"	"BS"	"N"	3	782	66.24022	-136.90408	5	11	34	1.156109936	0.087266463	0.593411946	-1.584159445	0.667	9.33	4.95	5	7.3	0.333333333	3.68	0	0	0	0	1000	0	0	NA	NA	NA	1000	1	0	0
"85"	"EP"	"S1"	"EPS1"	"BS"	"S"	2	613	66.15619	-137.1515	5.5	152	107	1.154643336	0.095993109	1.8675023	-2.441491238	0.784	33	5.45	5	6.9	0.358333333	32.55	0	0	0	0	51000	0	0	NA	NA	NA	51000	1	0	0
"86"	"EP"	"S2"	"EPS2"	"BS"	"S"	2	778	66.23415	-136.90146	5	200	155	1.156003995	0.087266463	2.705260341	-1.208089416	0.782	21.33	4.74	4	5.3	0.283333333	2.68	0	0	0	0	0	0	0	NA	NA	NA	0	NA	NA	NA
"87"	"EP"	"S3"	"EPS3"	"BS"	"S"	2	612	66.16673	-137.06625	14.5	148	103	1.154827294	0.253072742	1.79768913	-0.68121176	0.852	20.67	4.9	5	2.5	0.183333333	10.97	0	0	0	0	30000	0	0	NA	NA	NA	30000	1	0	0
"88"	"EP"	"W1"	"EPW1"	"BS"	"W"	5	598	66.15614	-137.14494	0	90	45	1.154642463	0	0.785398163	-2.563532986	0.729	37.33	5.09	4	6.6	0.383333333	5.43	0	0	0	0	33000	0	0	NA	NA	NA	33000	1	0	0
"89"	"EP"	"W2"	"EPW2"	"BS"	"W"	6	655	66.16157	-137.10013	0	90	45	1.154737235	0	0.785398163	-2.562181619	0.729	47.33	5.93	4	12.5	0.416666667	3.09	0	0	0	0	18000	0	0	NA	NA	NA	18000	1	0	0
"90"	"EP"	"W3"	"EPW3"	"BS"	"W"	6	623	66.16792	-137.06586	0	90	45	1.154848063	0	0.785398163	-2.560551693	0.729	29.67	5.88	5	8.5	0.291666667	2.33	0	0	0	0	44000	0	0	NA	NA	NA	44000	1	0	0
