"site","lat","lon","BS.dens","TA.dens","PB.dens","total.dens","bs.prop","ta.prop","pb.prop"
72,65.12,-147.43,65000,33000,43000,141000,0.460992907801418,0.234042553191489,0.304964539007092
73,65.12,-147.45,49000,29000,22000,1e+05,0.49,0.29,0.22
74,65.12,-147.47,15000,24000,13000,52000,0.288461538461538,0.461538461538462,0.25
75,65.12,-147.47,2000,2000,2000,6000,0.333333333333333,0.333333333333333,0.333333333333333
76,65.12,-147.47,22000,52000,26000,1e+05,0.22,0.52,0.26
77,65.13,-147.47,54000,51000,50000,155000,0.348387096774194,0.329032258064516,0.32258064516129
78,65.15,-147.48,6000,34000,4000,44000,0.136363636363636,0.772727272727273,0.0909090909090909
79,65.15,-147.48,112000,168000,56000,336000,0.333333333333333,0.5,0.166666666666667
80,65.15,-147.47,82000,86000,64000,232000,0.353448275862069,0.370689655172414,0.275862068965517
81,65.15,-147.47,115000,74000,61000,250000,0.46,0.296,0.244
82,65.15,-147.47,21000,20000,129000,170000,0.123529411764706,0.117647058823529,0.758823529411765
83,65.15,-147.47,18000,38000,87000,143000,0.125874125874126,0.265734265734266,0.608391608391608
84,65.15,-147.48,129000,5000,6000,140000,0.921428571428571,0.0357142857142857,0.0428571428571429
85,65.14,-147.47,11000,24000,17000,52000,0.211538461538462,0.461538461538462,0.326923076923077
86,65.14,-147.46,163000,91000,161000,415000,0.392771084337349,0.219277108433735,0.387951807228916
87,65.14,-147.47,66000,58000,463000,587000,0.112436115843271,0.0988074957410562,0.788756388415673
88,65.15,-147.34,63000,11000,0,74000,0.851351351351351,0.148648648648649,0
89,65.15,-147.34,26000,0,0,26000,1,0,0
90,65.15,-147.34,65000,0,1000,66000,0.984848484848485,0,0.0151515151515152
