"tag"	"species"	"height"
"180"	"TA1"	"aspen"	43
"181"	"TA10"	"aspen"	21
"182"	"TA11"	"aspen"	28
"183"	"TA12"	"aspen"	40
"184"	"TA13"	"aspen"	41
"185"	"TA14"	"aspen"	18
"186"	"TA15"	"aspen"	28
"187"	"TA16"	"aspen"	38
"188"	"TA17"	"aspen"	19
"189"	"TA18"	"aspen"	28
"190"	"TA19"	"aspen"	43
"191"	"TA2"	"aspen"	25
"192"	"TA20"	"aspen"	36
"193"	"TA4"	"aspen"	33
"194"	"TA6"	"aspen"	19
"195"	"TA7"	"aspen"	21
"196"	"TA8"	"aspen"	33
"197"	"TA9"	"aspen"	39
"198"	"PB1"	"birch"	74
"199"	"PB10"	"birch"	60
"200"	"PB11"	"birch"	152
"201"	"PB12"	"birch"	117
"202"	"PB13"	"birch"	101
"203"	"PB14"	"birch"	71
"204"	"PB15"	"birch"	42
"205"	"PB16"	"birch"	135
"206"	"PB17"	"birch"	132
"207"	"PB18"	"birch"	79
"208"	"PB19"	"birch"	101
"209"	"PB2"	"birch"	75
"210"	"PB20"	"birch"	129
"211"	"PB3"	"birch"	50
"212"	"PB4"	"birch"	54
"213"	"PB5"	"birch"	15
"214"	"PB6"	"birch"	20
"215"	"PB7"	"birch"	47
"216"	"PB8"	"birch"	62
"217"	"PB9"	"birch"	71
"218"	"BS1"	"spruce"	17
"219"	"BS10"	"spruce"	43
"220"	"BS11"	"spruce"	39
"221"	"BS12"	"spruce"	40
"222"	"BS13"	"spruce"	56
"223"	"BS14"	"spruce"	58
"224"	"BS15"	"spruce"	28
"225"	"BS16"	"spruce"	31
"226"	"BS17"	"spruce"	25
"227"	"BS18"	"spruce"	37
"228"	"BS19"	"spruce"	33
"229"	"BS2"	"spruce"	33
"230"	"BS20"	"spruce"	42
"231"	"BS3"	"spruce"	36
"232"	"BS4"	"spruce"	15
"233"	"BS5"	"spruce"	20
"234"	"BS6"	"spruce"	28
"235"	"BS7"	"spruce"	20
"236"	"BS8"	"spruce"	32
"237"	"BS9"	"spruce"	46
"238"	"TA1"	"aspen"	67
"239"	"TA10"	"aspen"	64
"240"	"TA11"	"aspen"	41
"241"	"TA12"	"aspen"	36
"242"	"TA13"	"aspen"	65
"243"	"TA14"	"aspen"	19
"244"	"TA15"	"aspen"	11
