"landscape","n_years","n_cells","n_zero_partial","kbdi_mean","kbdi_median","kbdi_sd","kbdi_min","kbdi_max","kbdi_q25","kbdi_q75","kbdi_iqr","annual_min","annual_max","annual_sd"
"landscape_alaska_01",66,60462,0,0.0290064354947655,0.0288008991628885,0.0046226632067691,0.0112929996103048,0.0447899997234344,0.0258514005690813,0.0322043001651764,0.00635289959609509,0.0193690031453339,0.0379349428940149,0.0039185082395364
"landscape_alaska_02",66,61470,0,0.0259526576463432,0.02539880014956,0.0058469614661365,0.0145145002752542,0.0483004003763199,0.0212225001305342,0.0296347998082638,0.00841229967772961,0.0185008001394845,0.0397680201287267,0.00425663146085174
"landscape_alaska_03",66,61322,0,0.031549447671628,0.0308941006660461,0.00524745483830493,0.0190983004868031,0.0536228008568287,0.0277247000485659,0.0349939987063408,0.00726929865777493,0.0229066249973,0.0415663984543886,0.00448573668589032
"landscape_alaska_04",66,60666,0,0.029857386319978,0.0295164007693529,0.00417744783106377,0.0187781006097794,0.0476840995252132,0.0268636997789145,0.0326888002455235,0.005825100466609,0.0219150787188456,0.039522317741041,0.00382017483272472
"landscape_alaska_05",66,61588,0,0.0304486891577175,0.0302146002650261,0.00449238522632114,0.0168431997299194,0.0526206009089947,0.0273109003901482,0.0332733988761902,0.00596249848604202,0.0229154600737454,0.0399493558581895,0.00402700925730291
"landscape_alaska_06",66,61747,0,0.0300164702707674,0.029908200725913,0.00488026905103217,0.0177287999540567,0.0487889982759953,0.0264488998800516,0.033220499753952,0.00677159987390041,0.0215210842929526,0.0390257956532667,0.00398607197846947
